5.83,728,12
5.9,718,13
5.93,719,15
5.97,720,17
6.0,705,16
6.03,705,18
6.07,705,19
6.1,704,21
6.13,705,23
6.17,705,24
6.53,775,2
6.63,708,65
6.67,710,68
6.7,710,71
6.73,711,74
6.77,711,76
6.77,703,44
6.8,713,79
6.97,700,8
7.03,832,1
7.07,798,1
7.1,743,2
7.17,713,30
7.2,783,15
7.37,847,128
7.47,786,47
7.5,715,73
7.5,833,55
7.53,834,61
7.53,748,54
7.57,786,61
7.6,775,65
7.63,782,71
7.67,848,177
7.67,835,80
7.67,764,74
7.7,849,175
7.7,798,81
7.7,737,78
7.73,849,181
7.73,769,86
7.77,849,189
7.8,722,103
7.9,840,116
7.9,725,112
8.07,769,137
8.1,775,142
8.13,795,149
8.17,837,159
8.2,788,160
8.23,845,170
8.27,859,248
8.27,795,171
8.3,766,175
8.3,718,189
8.33,782,181
8.37,758,190
8.4,767,195
8.43,739,201
8.47,778,200
8.47,720,213
8.5,845,210
8.5,746,211
8.53,843,214
8.53,724,221
8.57,808,216
8.57,727,223
8.6,724,311
8.6,846,223
8.6,787,219
8.6,724,230
8.63,725,306
8.63,844,228
8.63,719,241
8.63,775,223
8.67,846,233
8.67,747,237
8.7,853,238
8.7,782,232
8.7,724,246
8.73,863,315
8.73,840,240
8.73,719,255
8.73,773,237
8.77,864,317
8.77,727,325
8.77,838,244
8.77,738,246
8.8,864,325
8.8,728,324
8.8,847,250
8.8,749,253
8.83,864,336
8.83,727,332
8.83,779,250
8.83,727,261
8.87,864,342
8.87,764,260
8.9,863,350
8.9,752,267
8.93,864,351
8.93,837,267
8.93,731,275
8.97,724,283
8.97,817,271
9.0,788,274
9.03,787,278
9.1,724,304
9.1,836,288
9.13,844,291
9.17,727,310
9.17,847,295
9.2,825,297
9.23,871,393
9.23,722,323
9.23,828,300
9.27,737,393
9.27,839,304
9.3,873,396
9.3,735,340
9.3,724,330
9.3,822,308
9.33,875,408
9.33,739,402
9.33,735,345
9.33,732,329
9.33,811,311
9.37,740,405
9.37,736,349
9.37,733,331
9.37,841,314
9.4,877,409
9.4,740,397
9.4,727,342
9.4,840,318
9.43,879,418
9.43,742,403
9.43,734,342
9.43,843,323
9.47,881,419
9.47,744,414
9.47,740,341
9.47,817,328
9.5,882,419
9.5,736,354
9.5,845,330
9.53,883,417
9.53,786,346
9.57,750,431
9.57,885,416
9.57,739,361
9.57,826,339
9.6,887,428
9.6,750,426
9.6,753,361
9.6,852,341
9.63,889,432
9.63,752,430
9.63,741,371
9.63,851,345
9.67,891,439
9.67,754,433
9.67,758,369
9.67,854,349
9.7,756,439
9.7,893,441
9.7,760,373
9.7,852,353
9.73,755,427
9.73,797,369
9.77,896,447
9.77,759,445
9.77,806,371
9.8,898,444
9.8,763,457
9.8,760,386
9.8,849,365
9.83,766,470
9.83,900,449
9.83,756,389
9.83,853,367
9.87,769,475
9.87,901,443
9.87,767,390
9.87,850,372
9.9,768,394
9.9,859,375
9.93,769,402
9.93,858,379
9.97,775,483
9.97,809,393
10.0,779,494
10.03,780,494
10.03,768,438
10.03,859,390
10.07,861,394
10.1,786,506
10.1,857,398
10.13,884,513
10.13,786,501
10.13,872,400
10.17,788,503
10.17,776,455
10.17,793,423
10.17,875,404
10.2,890,520
10.2,792,513
10.2,778,459
10.2,794,428
10.2,878,407
10.23,891,524
10.23,791,505
10.23,792,434
10.23,883,410
10.27,795,512
10.27,796,437
10.27,884,414
10.3,796,513
10.3,786,472
10.3,796,443
10.3,883,419
10.33,798,514
10.33,788,476
10.33,801,446
10.33,885,422
10.37,801,520
10.37,791,481
10.37,802,451
10.37,888,426
10.4,804,525
10.4,807,454
10.4,892,429
10.43,804,462
10.43,892,434
10.47,807,465
10.47,891,438
10.5,806,474
10.5,895,441
10.53,809,476
10.53,894,446
10.57,870,517
10.57,813,479
10.57,898,450
10.6,872,521
10.6,813,488
10.6,902,453
10.63,874,525
10.63,817,491
10.63,905,458
10.67,874,532
10.67,812,521
10.67,821,494
10.67,918,460
10.7,877,536
10.7,813,526
10.7,822,500
10.7,908,467
10.73,814,533
10.73,810,514
10.73,848,489
10.73,909,471
10.77,827,507
10.77,907,477
10.8,860,500
10.83,936,530
10.83,832,514
10.83,910,487
10.87,938,531
10.87,860,509
10.9,873,511
10.93,876,515
10.97,874,521
